OBJECTID;FID_UFS_AMZLEG_LLWGS84;SPRAREA;SPRPERIMET;SPRROTULO;SPRNOME;MSLINK;MAPID;CODIGO;AREA_1;PERIMETRO_;GEOCODIGO;NOME;AREA_TOT_G;objeid_88;Area;FID_pontos_ameacadas_atualizado_portaria_443_2014;codigocncf;id;preccncflo;POINT_X;POINT_Y;familia;nome_cient;autor;categoria
546;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;0;24060;1099436;84216;centroide de municipio;-72,909991;-8,035102;LAURACEAE;Aiouea lehmannii;(O.C.Schmidt) S.S.Renner;EN
553;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;27371;1481184;882;centroide de municipio;-47,235073;-7,810239;RUTACEAE;Pilocarpus microphyllus;Stapf ex Wardlew.;EN
565;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;0;13938;717221;22074;5 a 10km;-72,67;-7,63;ARALIACEAE;Schefflera sprucei;(Seem.) Harms;VU
587;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;10448;673637;39529;0,5 a 5km;-63,716365;-7,489048;SAPOTACEAE;Pouteria vernicosa;T.D.Penn.;VU
604;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;0;11614;1462017;21557; ;-48,2;-7,15;VITACEAE;Cissus apendiculata;Lombardi;EN
609;8;1,24956E+12;7453944,903;5;5;5;99;15;1247659,325;7440,29108;15;PARÁ;1247689,515;4;0;6144;3337098;113797;centroide de municipio;-56,441495;-6,976914;BIGNONIACEAE;Pleonotoma bracteata;A.H.Gentry;VU
610;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;14766;804318;78752; ;-44,666667;-6,966667;FABACEAE;Peltogyne maranhensis;Huber ex Ducke;VU
620;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;14491;623268;78444;0,5 a 5km;-62,483161;-6,666667;LAURACEAE;Aniba rosaeodora;Ducke;EN
621;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;5950;1073132;112544;10 a 50km;-43,35282;-6,631332;BIGNONIACEAE;Anemopaegma mirabile;(Sandwith) A.H.Gentry;CR
626;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;13318;99569;114468;centroide de municipio;-43,629907;-6,547239;BIGNONIACEAE;Zeyheria tuberculosa;(Vell.) Bureau ex Verl.;VU
